County,County Code,Age Group,Year,Deaths,Population
"Alameda County, CA",6001,< 1 year,1999,110,19336
"Alameda County, CA",6001,< 1 year,2000,104,19397
"Alameda County, CA",6001,< 1 year,2001,133,22044
"Alameda County, CA",6001,< 1 year,2002,91,21316
"Alameda County, CA",6001,< 1 year,2003,97,21091
"Alameda County, CA",6001,< 1 year,2004,111,20339
"Alameda County, CA",6001,< 1 year,2005,105,19636
"Alameda County, CA",6001,< 1 year,2006,91,19532
"Alameda County, CA",6001,< 1 year,2007,105,19838
"Alameda County, CA",6001,< 1 year,2008,89,19782
"Alameda County, CA",6001,< 1 year,2009,77,18907
"Alameda County, CA",6001,< 1 year,2010,94,19010
"Alameda County, CA",6001,< 1 year,2011,79,19191
"Alameda County, CA",6001,< 1 year,2012,75,18970
"Alameda County, CA",6001,< 1 year,2013,86,19469
"Alameda County, CA",6001,< 1 year,2014,76,19475
"Alameda County, CA",6001,< 1 year,2015,75,19793
"Alameda County, CA",6001,< 1 year,2016,71,19966
"Alameda County, CA",6001,1-4 years,1999,17,79850
"Alameda County, CA",6001,1-4 years,2000,22,78981
"Alameda County, CA",6001,1-4 years,2001,15,77953
"Alameda County, CA",6001,1-4 years,2002,13,77912
"Alameda County, CA",6001,1-4 years,2003,13,78092
"Alameda County, CA",6001,1-4 years,2004,16,78711
"Alameda County, CA",6001,1-4 years,2005,10,79356
"Alameda County, CA",6001,1-4 years,2006,21,78080
"Alameda County, CA",6001,1-4 years,2007,18,77934
"Alameda County, CA",6001,1-4 years,2008,15,78653
"Alameda County, CA",6001,1-4 years,2009,18,79065
"Alameda County, CA",6001,1-4 years,2010,12,78642
"Alameda County, CA",6001,1-4 years,2011,12,78591
"Alameda County, CA",6001,1-4 years,2012,15,78511
"Alameda County, CA",6001,1-4 years,2013,10,77651
"Alameda County, CA",6001,1-4 years,2014,11,78026
"Alameda County, CA",6001,1-4 years,2016,10,77826
"Alameda County, CA",6001,5-9 years,1999,14,105925
"Alameda County, CA",6001,5-9 years,2000,14,104648
"Alameda County, CA",6001,5-9 years,2001,16,101659
"Alameda County, CA",6001,5-9 years,2002,15,97100
"Alameda County, CA",6001,5-9 years,2003,10,93360
"Alameda County, CA",6001,5-9 years,2004,13,89894
"Alameda County, CA",6001,5-9 years,2006,15,87078
"Alameda County, CA",6001,5-9 years,2007,11,87486
"Alameda County, CA",6001,10-14 years,1999,16,94557
"Alameda County, CA",6001,10-14 years,2000,19,96769
"Alameda County, CA",6001,10-14 years,2001,17,99376
"Alameda County, CA",6001,10-14 years,2002,13,100049
"Alameda County, CA",6001,10-14 years,2003,19,99504
"Alameda County, CA",6001,10-14 years,2004,13,98191
"Alameda County, CA",6001,10-14 years,2005,22,96345
"Alameda County, CA",6001,10-14 years,2006,13,94701
"Alameda County, CA",6001,10-14 years,2008,15,92215
"Alameda County, CA",6001,10-14 years,2009,13,91700
"Alameda County, CA",6001,10-14 years,2010,11,91070
"Alameda County, CA",6001,10-14 years,2011,11,91122
"Alameda County, CA",6001,10-14 years,2013,12,92318
"Alameda County, CA",6001,15-19 years,1999,48,90982
"Alameda County, CA",6001,15-19 years,2000,36,92448
"Alameda County, CA",6001,15-19 years,2001,41,91613
"Alameda County, CA",6001,15-19 years,2002,57,91251
"Alameda County, CA",6001,15-19 years,2003,51,91939
"Alameda County, CA",6001,15-19 years,2004,50,93049
"Alameda County, CA",6001,15-19 years,2005,51,94626
"Alameda County, CA",6001,15-19 years,2006,66,96464
"Alameda County, CA",6001,15-19 years,2007,54,98610
"Alameda County, CA",6001,15-19 years,2008,47,99861
"Alameda County, CA",6001,15-19 years,2009,43,100480
"Alameda County, CA",6001,15-19 years,2010,51,100394
"Alameda County, CA",6001,15-19 years,2011,34,97411
"Alameda County, CA",6001,15-19 years,2012,49,96473
"Alameda County, CA",6001,15-19 years,2013,43,95576
"Alameda County, CA",6001,15-19 years,2014,38,94703
"Alameda County, CA",6001,15-19 years,2015,46,94309
"Alameda County, CA",6001,15-19 years,2016,37,94192
