Age Group,County,County Code,Yearly July 1st Estimates,Population
< 1 year,"Alameda County, CA",6001,1999,19336
< 1 year,"Alameda County, CA",6001,2000,19756
< 1 year,"Alameda County, CA",6001,2001,22044
< 1 year,"Alameda County, CA",6001,2002,21316
< 1 year,"Alameda County, CA",6001,2003,21091
< 1 year,"Alameda County, CA",6001,2004,20339
< 1 year,"Alameda County, CA",6001,2005,19636
< 1 year,"Alameda County, CA",6001,2006,19532
< 1 year,"Alameda County, CA",6001,2007,19838
< 1 year,"Alameda County, CA",6001,2008,19782
< 1 year,"Alameda County, CA",6001,2009,18907
< 1 year,"Alameda County, CA",6001,2010,19208
< 1 year,"Alameda County, CA",6001,2011,19255
< 1 year,"Alameda County, CA",6001,2012,19042
< 1 year,"Alameda County, CA",6001,2013,19577
< 1 year,"Alameda County, CA",6001,2014,19621
< 1 year,"Alameda County, CA",6001,2015,19614
< 1 year,"Alameda County, CA",6001,2016,19742
< 1 year,"Alpine County, CA",6003,1999,10
< 1 year,"Alpine County, CA",6003,2000,11
< 1 year,"Alpine County, CA",6003,2001,11
< 1 year,"Alpine County, CA",6003,2002,9
< 1 year,"Alpine County, CA",6003,2003,9
< 1 year,"Alpine County, CA",6003,2004,9
< 1 year,"Alpine County, CA",6003,2005,7
< 1 year,"Alpine County, CA",6003,2006,7
< 1 year,"Alpine County, CA",6003,2007,7
< 1 year,"Alpine County, CA",6003,2008,7
< 1 year,"Alpine County, CA",6003,2009,5
< 1 year,"Alpine County, CA",6003,2010,6
< 1 year,"Alpine County, CA",6003,2011,5
< 1 year,"Alpine County, CA",6003,2012,5
< 1 year,"Alpine County, CA",6003,2013,6
< 1 year,"Alpine County, CA",6003,2014,6
< 1 year,"Alpine County, CA",6003,2015,5
< 1 year,"Alpine County, CA",6003,2016,1
< 1 year,"Amador County, CA",6005,1999,284
< 1 year,"Amador County, CA",6005,2000,291
< 1 year,"Amador County, CA",6005,2001,243
< 1 year,"Amador County, CA",6005,2002,273
< 1 year,"Amador County, CA",6005,2003,303
< 1 year,"Amador County, CA",6005,2004,277
< 1 year,"Amador County, CA",6005,2005,278
< 1 year,"Amador County, CA",6005,2006,283
< 1 year,"Amador County, CA",6005,2007,296
< 1 year,"Amador County, CA",6005,2008,290
< 1 year,"Amador County, CA",6005,2009,316
< 1 year,"Amador County, CA",6005,2010,293
< 1 year,"Amador County, CA",6005,2011,261
< 1 year,"Amador County, CA",6005,2012,275
< 1 year,"Amador County, CA",6005,2013,250
< 1 year,"Amador County, CA",6005,2014,284
< 1 year,"Amador County, CA",6005,2015,306
< 1 year,"Amador County, CA",6005,2016,298
< 1 year,"Butte County, CA",6007,1999,2219
< 1 year,"Butte County, CA",6007,2000,2233
< 1 year,"Butte County, CA",6007,2001,2247
< 1 year,"Butte County, CA",6007,2002,2243
< 1 year,"Butte County, CA",6007,2003,2280
< 1 year,"Butte County, CA",6007,2004,2377
< 1 year,"Butte County, CA",6007,2005,2313
< 1 year,"Butte County, CA",6007,2006,2506
< 1 year,"Butte County, CA",6007,2007,2494
< 1 year,"Butte County, CA",6007,2008,2508
< 1 year,"Butte County, CA",6007,2009,2462
< 1 year,"Butte County, CA",6007,2010,2448
< 1 year,"Butte County, CA",6007,2011,2440
< 1 year,"Butte County, CA",6007,2012,2400
< 1 year,"Butte County, CA",6007,2013,2332
< 1 year,"Butte County, CA",6007,2014,2497
< 1 year,"Butte County, CA",6007,2015,2479
< 1 year,"Butte County, CA",6007,2016,2455
< 1 year,"Calaveras County, CA",6009,1999,328
< 1 year,"Calaveras County, CA",6009,2000,330
< 1 year,"Calaveras County, CA",6009,2001,307
< 1 year,"Calaveras County, CA",6009,2002,331
< 1 year,"Calaveras County, CA",6009,2003,356
< 1 year,"Calaveras County, CA",6009,2004,317
< 1 year,"Calaveras County, CA",6009,2005,354
< 1 year,"Calaveras County, CA",6009,2006,432
< 1 year,"Calaveras County, CA",6009,2007,438
< 1 year,"Calaveras County, CA",6009,2008,445
< 1 year,"Calaveras County, CA",6009,2009,408
< 1 year,"Calaveras County, CA",6009,2010,348
< 1 year,"Calaveras County, CA",6009,2011,334
< 1 year,"Calaveras County, CA",6009,2012,356
< 1 year,"Calaveras County, CA",6009,2013,325
< 1 year,"Calaveras County, CA",6009,2014,365
< 1 year,"Calaveras County, CA",6009,2015,356
< 1 year,"Calaveras County, CA",6009,2016,378
< 1 year,"Colusa County, CA",6011,1999,288
< 1 year,"Colusa County, CA",6011,2000,308
< 1 year,"Colusa County, CA",6011,2001,362
< 1 year,"Colusa County, CA",6011,2002,314
< 1 year,"Colusa County, CA",6011,2003,327
< 1 year,"Colusa County, CA",6011,2004,326
< 1 year,"Colusa County, CA",6011,2005,350
< 1 year,"Colusa County, CA",6011,2006,372
< 1 year,"Colusa County, CA",6011,2007,374
< 1 year,"Colusa County, CA",6011,2008,385
< 1 year,"Colusa County, CA",6011,2009,339
< 1 year,"Colusa County, CA",6011,2010,327
< 1 year,"Colusa County, CA",6011,2011,331
< 1 year,"Colusa County, CA",6011,2012,296
< 1 year,"Colusa County, CA",6011,2013,310
< 1 year,"Colusa County, CA",6011,2014,303
< 1 year,"Colusa County, CA",6011,2015,271
< 1 year,"Colusa County, CA",6011,2016,303
< 1 year,"Contra Costa County, CA",6013,1999,12536
