id,brthcan,prv,region,marstat
1,1,47,4,1
2,1,11,1,5
3,1,59,5,6
4,1,59,5,3
5,2,35,3,1
6,2,13,1,5
7,2,59,5,1
8,1,35,3,4
9,1,48,4,1
10,1,35,3,1
11,1,59,5,1
12,1,59,5,5
13,1,24,2,6
14,1,35,3,1
15,1,11,1,1
16,1,47,4,3
17,2,59,5,5
18,1,48,4,6
19,1,59,5,1
20,1,59,5,1
21,1,35,3,1
22,2,35,3,1
23,1,35,3,1
24,1,35,3,6
25,1,11,1,3
26,2,24,2,1
27,1,48,4,3
28,1,59,5,1
29,1,24,2,1
30,1,59,5,1
31,1,10,1,6
32,1,10,1,1
33,1,24,2,2
34,1,10,1,1
35,1,13,1,5
36,1,12,1,1
37,1,10,1,1
38,1,10,1,6
39,1,48,4,1
40,1,59,5,1
41,1,24,2,3
42,1,47,4,1
43,1,10,1,1
44,1,59,5,1
45,1,46,4,1
46,1,47,4,5
47,1,24,2,2
48,1,35,3,1
49,1,13,1,1
50,2,35,3,3
51,1,35,3,1
52,2,35,3,1
53,1,48,4,1
54,2,35,3,1
55,1,35,3,1
56,2,59,5,1
57,1,24,2,2
58,1,11,1,6
59,1,59,5,1
60,2,35,3,1
61,1,24,2,2
62,1,10,1,1
63,1,11,1,1
64,2,24,2,6
65,1,46,4,1
66,1,24,2,6
67,2,35,3,3
68,2,35,3,1
69,1,11,1,3
70,1,59,5,1
71,1,59,5,2
72,1,35,3,1
73,1,24,2,4
74,1,24,2,6
75,2,59,5,1
76,1,47,4,1
77,2,13,1,1
78,1,13,1,2
79,1,59,5,1
80,1,59,5,1
81,1,11,1,5
82,1,48,4,1
83,1,24,2,6
84,1,47,4,1
85,2,35,3,1
86,1,46,4,1
87,1,47,4,6
88,1,10,1,2
89,2,11,1,5
90,1,35,3,6
91,2,35,3,5
92,1,47,4,1
93,1,11,1,1
94,1,59,5,3
95,1,59,5,2
96,1,35,3,1
97,1,11,1,6
98,1,35,3,6
99,1,24,2,6
100,1,11,1,1
101,1,47,4,6
102,1,46,4,6
103,1,24,2,6
104,1,24,2,6
105,1,24,2,6
106,1,35,3,6
107,1,47,4,6
108,1,24,2,1
109,1,35,3,5
110,2,35,3,1
111,1,48,4,6
112,1,47,4,1
113,1,35,3,5
114,2,24,2,6
115,1,35,3,1
116,2,35,3,5
117,1,46,4,1
118,1,24,2,1
119,1,46,4,1
120,2,48,4,6
121,1,35,3,6
122,1,10,1,1
123,2,59,5,1
124,1,59,5,6
125,1,59,5,1
126,1,24,2,1
127,1,35,3,1
128,1,48,4,6
129,2,35,3,3
130,1,48,4,1
131,1,24,2,2
132,1,13,1,2
133,1,12,1,1
134,2,35,3,6
135,2,46,4,1
136,1,24,2,2
137,1,46,4,1
138,1,48,4,6
139,1,47,4,1
140,2,59,5,1
141,1,59,5,6
142,1,10,1,1
143,1,35,3,1
144,1,47,4,4
145,1,35,3,6
146,2,24,2,1
147,1,24,2,6
148,1,47,4,1
149,1,35,3,2
150,1,59,5,1
151,1,35,3,1
152,1,13,1,3
153,1,24,2,6
154,2,35,3,1
155,2,35,3,1
156,1,35,3,1
157,1,35,3,3
158,1,13,1,1
159,2,35,3,3
160,1,35,3,1
161,9,35,3,1
162,1,35,3,3
163,1,47,4,4
164,7,10,1,2
165,2,35,3,1
166,1,24,2,5
167,1,59,5,1
168,1,35,3,6
169,1,13,1,1
170,2,24,2,1
171,1,10,1,1
172,1,47,4,6
173,1,24,2,6
174,1,24,2,2
175,2,35,3,6
176,1,11,1,1
177,1,35,3,1
178,1,11,1,4
179,1,59,5,1
180,1,24,2,3
181,1,35,3,3
182,2,48,4,1
183,2,46,4,1
184,2,24,2,1
185,1,35,3,2
186,1,35,3,1
187,2,35,3,1
188,1,59,5,1
189,1,59,5,4
190,2,35,3,1
191,1,59,5,3
192,1,24,2,3
