iso_a3,mmr
AFG,638
ALB,15
DZA,112
AGO,241
ATG,42
ARG,39
ARM,26
AUS,6
AUT,5
AZE,26
BHS,70
BHR,14
BGD,173
BRB,27
BLR,2
BEL,5
BLZ,36
BEN,397
BTN,183
BOL,155
BIH,10
BWA,144
BRA,60
BRN,31
BGR,10
BFA,320
BDI,548
CPV,58
KHM,160
CMR,529
CAN,10
CAF,829
TCD,1140
CHL,13
CHN,29
COL,83
COM,273
COG,378
CRI,27
CIV,617
HRV,8
CUB,36
CYP,6
CZE,3
PRK,89
COD,473
DNK,4
DJI,248
DOM,95
ECU,59
EGY,37
SLV,46
GNQ,301
ERI,480
EST,9
ETH,401
FJI,34
FIN,3
FRA,8
GAB,252
GMB,597
GEO,25
DEU,7
GHA,308
GRC,3
GRD,25
GTM,95
GIN,576
GNB,667
GUY,169
HTI,480
HND,65
HUN,12
ISL,4
IND,145
IDN,177
IRN,16
IRQ,79
IRL,5
ISR,3
ITA,2
JAM,80
JPN,5
JOR,46
KAZ,10
KEN,342
KIR,92
KWT,12
KGZ,60
LAO,185
LVA,19
LBN,29
LSO,544
LBR,661
LBY,72
LTU,8
LUX,5
MDG,335
MWI,349
MYS,29
MDV,53
MLI,562
MLT,6
MRT,766
MUS,61
MEX,33
FSM,88
MNG,45
MNE,6
MAR,70
MOZ,289
MMR,250
NAM,195
NPL,186
NLD,5
NZL,9
NIC,98
NER,509
NGA,917
NOR,2
PSE,27
OMN,19
PAK,140
PAN,52
PNG,145
PRY,84
PER,88
PHL,121
POL,2
PRT,8
PRI,21
QAT,9
KOR,11
MDA,19
ROU,19
RUS,17
RWA,248
LCA,117
WSM,43
STP,130
SAU,17
SEN,315
SRB,12
SYC,53
SLE,1120
SGP,8
SVK,5
SVN,7
SLB,104
SOM,829
ZAF,119
SSD,1150
ESP,4
LKA,36
VCT,68
SDN,295
SUR,120
SWZ,437
SWE,4
CHE,5
SYR,31
TJK,17
TZA,524
MKD,7
THA,37
TLS,142
TGO,396
TON,52
TTO,67
TUN,43
TUR,17
TKM,7
UGA,375
UKR,19
ARE,3
GBR,7
USA,19
URY,17
UZB,29
VUT,72
VEN,125
VNM,43
YEM,164
ZMB,213
ZWE,458
